Trade,Origin region,Destination region,Origin country,district,req ETD wk ,Cust. Code,Carrier (Std),Contract #,BR:1st Vessel,BR:1st Voyage #,Bkg Party # ,TMS #,Booking Status,Exception?,BR:PRE,BR:POL,BR:POD,BR:DEL,Move Type,BR:Req. ETD,BC:ETD POL,BR:Eqp.,BR:Eqp. Cnt,BC:Eqp.,BC:Eqp. Cnt,BC:Release Date,BC:Version,BR:Req. FEU,BC:Conf. FEU,BC: CY Cut-off Date,BC: CY Cut-off Time,BC: VGM Cut-off Date,BC: VGM Cut-off Time,BC: SI Cut-off Date,BC: SI Cut-off Time,BC:1st ETD POL,BC:1st ETA POD,BC:1st Release Date,BC:Released,BR:2nd Vessel,BR:2nd Voyage #,Consignee,Region,Bkg Type,Shipper Bkg Linked?,CRD,Date between BR creattion / ETD req,Check,x4,x5,x6,x7,x8,x9
AP > EU,AP,EU,CN,CN E.,32,HOD,MAEU,90-0090,ESTELLE MAERSK,532W,292861392,186512790,Pending,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Home Depot,Ningbo,Bkg Agnt,Yes,01-Aug, 18.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,32,COS,MAEU,90-0090,ESTELLE MAERSK,532W,292861440,186605681,Pending,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,,40HCx3,3,,,,,3.375,,,,,,,,,,,Yes,,,Costco,Ningbo,Bkg Agnt,Yes,31-Jul, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,32,TRI,MAEU,90-0090,ESTELLE MAERSK,532W,292861484,186624133,Pending,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,,40HCx2,2,,,,,2.25,,,,,,,,,,,Yes,,,Triumph,Ningbo,Bkg Agnt,Yes,31-Jul, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,32,HOD,MAEU,90-0090,ESTELLE MAERSK,532W,264319062,186512583,Canceled by carrier,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,,40HCx6,6,,,09-Jul,1,6.75,,,,,,,,,,,Yes,,,Home Depot,Ningbo,Bkg Agnt,Yes,31-Jul, 18.00 ,-45847,,,,,,
AP > EU,AP,EU,CN,CN N.,33,HMH,MAEU,90-0080,MUNICH MAERSK,533W,TBD,187024912,Pending,N,CNTAO,CNTAO,DEHAM,DEHAM,CYP/CYP,12-Aug,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,H&M Home,Qingdao,Bkg Agnt,Yes,05-Aug, 11.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN N.,33,HMH,MAEU,90-0080,MUNICH MAERSK,533W,TBD,187024945,Pending,N,CNTAO,CNTAO,DEHAM,DEHAM,CYP/CYP,12-Aug,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,H&M Home,Qingdao,Bkg Agnt,Yes,04-Aug, 11.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN N.,33,HMH,MAEU,90-0080,MUNICH MAERSK,533W,TBD,187024977,Pending,N,CNTAO,CNTAO,DEHAM,DEHAM,CYP/CYP,12-Aug,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,H&M Home,Qingdao,Bkg Agnt,Yes,04-Aug, 11.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN N.,33,HMH,MAEU,90-0080,MUNICH MAERSK,533W,TBD,187025046,Pending,N,CNTAO,CNTAO,DEHAM,DEHAM,CYP/CYP,12-Aug,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,H&M Home,Qingdao,Bkg Agnt,Yes,05-Aug, 11.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN S.,33,HCLU,MAEU,90-0080,MARGRETHE MAERSK,329W,38538244,185901648,Confirmed,Y,CNYTN,CNYTN,NLRTM,NLRTM,CYP/CYP,12-Aug,16-Aug,45HCx1,1,45HCx1,1,16-Jul,2,1.265,1.265,15-Aug,3:30,14-Aug,15:30,13-Aug,18:00,12-Aug,15-Sep,15-Jul,No,,,H&M Home,China S,Direct,No,04-Aug, 26.00 ,-1,,,,,,
AP > EU,AP,EU,CN,CN S.,33,BBY,MAEU,90-0080,MUNICH MAERSK,533W,TBD,186734576,pending,N,CNYTN,CNYTN,DEHAM,DEHAM,CYP/CYP,15-Aug,16-Aug,40HCx4,4,,,,,4.5,,,,,,,,,,,Yes,,,Best Buy,S.China,Direct,Yes,07-Aug, 20.00 ,0,,,,,,
